year,home_price_index,mortgage_rate,income_median,income_pc_real,permits,home_price_proxy,loan_amount,r_month,mortgage_payment_monthly,income_monthly,PIR,PTI,API,PIR_index,pir_pred_by_rate
2000,104.95658382968749,8.053461538461539,46327.0,,3422.5901940046665,320000.0,256000.0,0.006711217948717949,1887.9869382142624,3860.5833333333335,0.489041881809121,6.907418999719386,,100.0,0.5899407826646474
2001,113.44707503499109,6.967884615384615,46991.0,,3648.4537025249388,345886.486455256,276709.1891642048,0.005806570512820512,1834.9887867675889,3915.9166666666665,0.46859750678238526,7.360696440919665,,95.8195042618629,0.5174145667704626
2002,121.61563103690592,6.537307692307692,44946.0,,3872.3349383677937,370791.431197497,296633.1449579976,0.00544775641025641,1882.2071904866893,3745.5,0.5025249473999972,8.249709233246495,,102.75703699261874,0.4886481899082696
2003,131.71444997629365,5.826981132075471,47367.0,,4149.642724150827,401581.5154655598,321265.21237244783,0.004855817610062893,1890.5569230725089,3947.25,0.4789554558420442,8.47808633575189,,97.93751285068592,0.44119204344123075
2004,142.8850840413845,5.839230769230769,47711.0,,3977.2646658263634,435639.43513479707,348511.5481078377,0.004866025641025641,2053.6170544187926,3975.9166666666665,0.5165141089691164,9.130796569654736,,105.6175612318452,0.4420104284032401
2005,156.33965118426826,5.866730769230769,50270.0,,4381.036570974506,476660.7920485211,381328.6336388169,0.004888942307692308,2253.6879521423293,4189.166666666667,0.5379800164254616,9.482012970927414,,110.00694141681748,0.4438476735534383
2006,166.65473537851577,6.413269230769231,52012.0,,3897.268799912534,508110.2430664338,406488.19445314707,0.005344391025641025,2546.1403863242417,4334.333333333333,0.5874352963910425,9.769096421334188,,120.1196294718017,0.4803613149301032
2007,164.9508653202985,6.337307692307693,54141.0,,2857.9930640174566,502915.348199102,402332.2785592816,0.0052810897435897446,2500.119876219753,4511.75,0.5541352859133936,9.288992597090965,,113.31039457468783,0.4752864069977378
2008,148.4104717062376,6.027169811320754,56230.0,49533.0,1391.3815805182905,452485.67753557983,361988.5420284639,0.0050226415094339625,2176.6314541928637,4685.833333333333,0.46451320381138833,8.047050996542412,0.00018058569332600656,94.98434001051335,0.4545664318073386
2009,127.35748221413316,5.036538461538461,53974.0,46053.0,555.5671198597641,388297.6448114447,310638.11584915576,0.004197115384615384,1674.516245420571,4497.833333333333,0.3722939738586515,7.194160981425218,0.00013928318622808116,76.12721685132938,0.3883834266065479
2010,122.67539124983007,4.689807692307692,52967.0,46346.0,603.6603959097087,374022.5126195641,299218.01009565126,0.003908173076923077,1550.0252156148017,4413.916666666667,0.35116775704452996,7.06142527648468,0.00012413670943345895,71.80729710622106,0.3652187202722316
2011,114.36537861114425,4.447884615384615,53271.0,46806.0,688.417131727556,348686.2836061032,278949.0268848826,0.003706570512820513,1404.7690122249267,4439.25,0.3164428703553363,6.545517891650301,0.00010867923088004641,64.70670143520505,0.3490561020977614
