observation_date,RPIPC16980
2008-01-01,49533
2009-01-01,46053
2010-01-01,46346
2011-01-01,46806
2012-01-01,49229
2013-01-01,49536
2014-01-01,51779
2015-01-01,54632
2016-01-01,54142
2017-01-01,54368
2018-01-01,57076
2019-01-01,58750
2020-01-01,60477
2021-01-01,62167
2022-01-01,59878
2023-01-01,62786
